sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_max_coverage,exact_selected_max_coverage_se,exact_selected_max_coverage_ci_low,exact_selected_max_coverage_ci_high,exact_selected_final_coverage,exact_selected_final_coverage_se,exact_selected_final_coverage_ci_low,exact_selected_final_coverage_ci_high,exact_selected_success,exact_selected_success_se,exact_selected_success_ci_low,exact_selected_success_ci_high
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,4,8,1,0.14608390696053636,0.0,0.14608390696053636,0.14608390696053636,0.18749178113775383,0.0,0.18749178113775383,0.18749178113775383,0.18461049474546085,0.0,0.18461049474546085,0.18461049474546085,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,8,1,1,0.1844866468030717,0.0,0.1844866468030717,0.1844866468030717,0.23291475471557632,0.0,0.23291475471557632,0.23291475471557632,0.23281817582553896,0.0,0.23281817582553896,0.23281817582553896,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,8,8,1,0.1910703195531811,0.0,0.1910703195531811,0.1910703195531811,0.23688458574963162,0.0,0.23688458574963162,0.23688458574963162,0.23643120500827183,0.0,0.23643120500827183,0.23643120500827183,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,1,1,1,0.06918107857215242,0.0,0.06918107857215242,0.06918107857215242,0.10229862654578523,0.0,0.10229862654578523,0.10229862654578523,0.09414521220548434,0.0,0.09414521220548434,0.09414521220548434,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,1,8,1,0.06388875128052858,0.0,0.06388875128052858,0.06388875128052858,0.09396319622681763,0.0,0.09396319622681763,0.09396319622681763,0.08516071735442914,0.0,0.08516071735442914,0.08516071735442914,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,2,1,1,0.0679400518585327,0.0,0.0679400518585327,0.0679400518585327,0.1062956146179321,0.0,0.1062956146179321,0.1062956146179321,0.09874393012370411,0.0,0.09874393012370411,0.09874393012370411,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,2,8,1,0.06670587126324407,0.0,0.06670587126324407,0.06670587126324407,0.10043880050823917,0.0,0.10043880050823917,0.10043880050823917,0.08913185979221219,0.0,0.08913185979221219,0.08913185979221219,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,4,1,1,0.08014971832834052,0.0,0.08014971832834052,0.08014971832834052,0.1206212836552696,0.0,0.1206212836552696,0.1206212836552696,0.1150743391217627,0.0,0.1150743391217627,0.1150743391217627,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,4,8,1,0.049092241442375985,0.0,0.049092241442375985,0.049092241442375985,0.08339319788401683,0.0,0.08339319788401683,0.08339319788401683,0.06918842908211084,0.0,0.06918842908211084,0.06918842908211084,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,8,1,1,0.11339745615791946,0.0,0.11339745615791946,0.11339745615791946,0.15498869298874918,0.0,0.15498869298874918,0.15498869298874918,0.15273691322175034,0.0,0.15273691322175034,0.15273691322175034,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,misaligned_corner_scorer,8,8,1,0.02326963951849399,0.0,0.02326963951849399,0.02326963951849399,0.05682821607253575,0.0,0.05682821607253575,0.05682821607253575,0.038358629041036485,0.0,0.038358629041036485,0.038358629041036485,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,oracle_real_utility_selector,1,1,1,0.06918107857215242,0.0,0.06918107857215242,0.06918107857215242,0.10229862654578523,0.0,0.10229862654578523,0.10229862654578523,0.09414521220548433,0.0,0.09414521220548433,0.09414521220548433,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,oracle_real_utility_selector,1,8,1,0.06388875128052858,0.0,0.06388875128052858,0.06388875128052858,0.09396319622681765,0.0,0.09396319622681765,0.09396319622681765,0.08516071735442912,0.0,0.08516071735442912,0.08516071735442912,0.0,0.0,0.0,0.0
